,Region,PHI,Barangay,Disease,No. of Cases,MW
15823,XI,DAVAO CITY,LOS AMIGOS,Dengue,3,6
15824,XI,DAVAO CITY,MA-A,Dengue,5,6
15825,XI,DAVAO CITY,MALABOG,Dengue,4,6
15826,XI,DAVAO CITY,MATINA APLAYA,Dengue,3,6
15827,XI,DAVAO CITY,MATINA CROSSING,Dengue,8,6
15828,XI,DAVAO CITY,MINTAL,Dengue,5,6
15829,XI,DAVAO CITY,PANACAN,Dengue,6,6
15830,XI,DAVAO CITY,SASA,Dengue,6,6
15831,XI,DAVAO CITY,TALOMO,Dengue,12,6
15832,XI,DAVAO CITY,TAMAYONG,Dengue,3,6
15833,XI,DAVAO CITY,TAWAN-TAWAN,Dengue,3,6
15834,XI,DAVAO CITY,TIBUNGCO,Dengue,7,6
15835,XI,DAVAO CITY,TIGATTO,Dengue,7,6
15836,XI,DAVAO CITY,TORIL,Dengue,4,6
15837,XI,DAVAO DE ORO,MAPARAT,Dengue,3,6
15838,XI,DAVAO DE ORO,NGAN,Dengue,3,6
15839,XI,DAVAO DE ORO,OSMEÑA,Dengue,6,6
15840,XI,DAVAO DE ORO,POBLACION,Dengue,6,6
15841,XI,DAVAO DE ORO,AGUINALDO,Dengue,3,6
15842,XI,DAVAO DE ORO,KAPATAGAN,Dengue,3,6
15843,XI,DAVAO DE ORO,LAAC,Dengue,3,6
15844,XI,DAVAO DE ORO,CUAMBOG,Dengue,5,6
15845,XI,DAVAO DE ORO,PANGIBIRAN,Dengue,3,6
15846,XI,DAVAO DE ORO,TAGNANAN,Dengue,3,6
15847,XI,DAVAO DE ORO,LAPU-LAPU,Dengue,3,6
15848,XI,DAVAO DE ORO,LIBAY-LIBAY,Dengue,3,6
15849,XI,DAVAO DE ORO,PANGI,Dengue,5,6
15850,XI,DAVAO DE ORO,PANIBASAN,Dengue,4,6
15851,XI,DAVAO DE ORO,TALIAN,Dengue,5,6
15852,XI,DAVAO DE ORO,ANDILI,Dengue,3,6
15853,XI,DAVAO DE ORO,POBLACION,Dengue,3,6
15854,XI,DAVAO DE ORO,PASIAN,Dengue,4,6
15855,XI,DAVAO DE ORO,UNION,Dengue,7,6
15856,XI,DAVAO DE ORO,ANDAP,Dengue,3,6
15857,XI,DAVAO DE ORO,CABINUANGAN,Dengue,3,6
15858,XI,DAVAO DE ORO,BONGBONG,Dengue,3,6
15859,XI,DAVAO DE ORO,KINGKING,Dengue,12,6
15860,XI,DAVAO DEL NORTE,BUCLAD,Dengue,4,6
15861,XI,DAVAO DEL NORTE,CAMBANOGOY,Dengue,7,6
15862,XI,DAVAO DEL NORTE,MAGATOS,Dengue,3,6
15863,XI,DAVAO DEL NORTE,NAPUNGAS,Dengue,3,6
15864,XI,DAVAO DEL NORTE,SAGAYEN,Dengue,3,6
15865,XI,DAVAO DEL NORTE,CABAY-ANGAN,Dengue,4,6
15866,XI,DAVAO DEL NORTE,DUJALI,Dengue,4,6
15867,XI,DAVAO DEL NORTE,TANGLAW,Dengue,6,6
15868,XI,DAVAO DEL NORTE,ISING,Dengue,11,6
15869,XI,DAVAO DEL NORTE,MANGALCAL,Dengue,3,6
15870,XI,DAVAO DEL NORTE,NEW CAMILING,Dengue,3,6
15871,XI,DAVAO DEL NORTE,STO. NIÑO,Dengue,4,6
15872,XI,DAVAO DEL NORTE,TUBOD,Dengue,3,6
15873,XI,DAVAO DEL NORTE,A. O. FLOIRENDO,Dengue,7,6
15874,XI,DAVAO DEL NORTE,CAGANGOHAN,Dengue,3,6
15875,XI,DAVAO DEL NORTE,GREDU,Dengue,3,6
15876,XI,DAVAO DEL NORTE,J.P. LAUREL,Dengue,6,6
15877,XI,DAVAO DEL NORTE,KATIPUNAN,Dengue,3,6
15878,XI,DAVAO DEL NORTE,KAUSWAGAN,Dengue,3,6
15879,XI,DAVAO DEL NORTE,MADUAO,Dengue,3,6
15880,XI,DAVAO DEL NORTE,NEW PANDAN,Dengue,4,6
15881,XI,DAVAO DEL NORTE,NEW VISAYAS,Dengue,11,6
15882,XI,DAVAO DEL NORTE,QUEZON,Dengue,3,6
15883,XI,DAVAO DEL NORTE,SAN FRANCISCO,Dengue,10,6
15884,XI,DAVAO DEL NORTE,SAN VICENTE,Dengue,9,6
15885,XI,DAVAO DEL NORTE,SOUTHERN DAVAO,Dengue,3,6
15886,XI,DAVAO DEL NORTE,TIBUNGOL,Dengue,7,6
15887,XI,DAVAO DEL NORTE,APOKON,Dengue,6,6
15888,XI,DAVAO DEL NORTE,CUAMBOGAN,Dengue,8,6
15889,XI,DAVAO DEL NORTE,LA FILIPINA,Dengue,4,6
15890,XI,DAVAO DEL NORTE,MADAUM,Dengue,18,6
15891,XI,DAVAO DEL NORTE,MAGDUM,Dengue,3,6
15892,XI,DAVAO DEL NORTE,MAGUGPO EAST,Dengue,9,6
15893,XI,DAVAO DEL NORTE,MAGUGPO NORTH,Dengue,4,6
15894,XI,DAVAO DEL NORTE,MAGUGPO SOUTH,Dengue,4,6
15895,XI,DAVAO DEL NORTE,MAGUGPO WEST,Dengue,6,6
15896,XI,DAVAO DEL NORTE,MANKILAM,Dengue,14,6
15897,XI,DAVAO DEL NORTE,SAN MIGUEL,Dengue,12,6
15898,XI,DAVAO DEL NORTE,VISAYAN VILLAGE,Dengue,12,6
15899,XI,DAVAO DEL NORTE,SAN ISIDRO,Dengue,3,6
15900,XI,DAVAO DEL NORTE,SANTA CRUZ,Dengue,4,6
15901,XI,DAVAO DEL NORTE,CAPUNGAGAN,Dengue,3,6
15902,XI,DAVAO DEL NORTE,MANIKI,Dengue,20,6
15903,XI,DAVAO DEL NORTE,SUA-ON,Dengue,3,6
15904,XI,DAVAO DEL NORTE,DEL PILAR,Dengue,3,6
15905,XI,DAVAO DEL NORTE,BALAGUNAN,Dengue,3,6
15906,XI,DAVAO DEL NORTE,BOBONGON,Dengue,6,6
15907,XI,DAVAO DEL NORTE,TIBAL-OG,Dengue,24,6
15908,XI,DAVAO DEL NORTE,TULALIAN,Dengue,4,6
15909,XI,DAVAO DEL NORTE,SANTO NIÑO,Dengue,5,6
15910,XI,DAVAO DEL SUR,DARAPUAY,Dengue,3,6
15911,XI,DAVAO DEL SUR,APLAYA,Dengue,3,6
15912,XI,DAVAO DEL SUR,COGON,Dengue,3,6
15913,XI,DAVAO DEL SUR,DAWIS,Dengue,6,6
15914,XI,DAVAO DEL SUR,KAPATAGAN,Dengue,9,6
15915,XI,DAVAO DEL SUR,MATTI,Dengue,4,6
15916,XI,DAVAO DEL SUR,SINAWILAN,Dengue,4,6
15917,XI,DAVAO DEL SUR,ZONE 1,Dengue,5,6
15918,XI,DAVAO DEL SUR,ZONE 2,Dengue,4,6
15919,XI,DAVAO DEL SUR,ZONE 3,Dengue,6,6
15920,XI,DAVAO DEL SUR,POBLACION,Dengue,3,6
15921,XI,DAVAO DEL SUR,BAGUMBAYAN,Dengue,4,6
15922,XI,DAVAO DEL SUR,BAYBAY,Dengue,3,6
15923,XI,DAVAO DEL SUR,POBLACION,Dengue,3,6
15924,XI,DAVAO DEL SUR,BATO,Dengue,4,6
15925,XI,DAVAO DEL SUR,TUBAN,Dengue,4,6
15926,XI,DAVAO DEL SUR,ZONE III,Dengue,3,6
15927,XI,DAVAO DEL SUR,ZONE IV,Dengue,3,6
15928,XI,DAVAO OCCIDENTAL,CALIAN,Dengue,3,6
15929,XI,DAVAO OCCIDENTAL,KINANGA,Dengue,6,6
15930,XI,DAVAO OCCIDENTAL,LAPUAN,Dengue,20,6
15931,XI,DAVAO OCCIDENTAL,LAWA,Dengue,5,6
15932,XI,DAVAO OCCIDENTAL,WEST LAMIDAN,Dengue,4,6
15933,XI,DAVAO OCCIDENTAL,MALALAN,Dengue,4,6
15934,XI,DAVAO OCCIDENTAL,BOLILA,Dengue,3,6
15935,XI,DAVAO OCCIDENTAL,FELIS,Dengue,11,6
15936,XI,DAVAO OCCIDENTAL,POBLACION,Dengue,19,6
15937,XI,DAVAO OCCIDENTAL,SANGAY,Dengue,6,6
15938,XI,DAVAO OCCIDENTAL,MAMACAO,Dengue,5,6
15939,XI,DAVAO OCCIDENTAL,POBLACION,Dengue,6,6
15940,XI,DAVAO OCCIDENTAL,SAN AGUSTIN,Dengue,3,6
15941,XI,DAVAO OCCIDENTAL,SAN ISIDRO,Dengue,3,6
15942,XI,DAVAO OCCIDENTAL,LAKER,Dengue,5,6
15943,XI,DAVAO OCCIDENTAL,MABILA,Dengue,6,6
15944,XI,DAVAO ORIENTAL,KINABLANGAN,Dengue,3,6
15945,XI,DAVAO ORIENTAL,CABANGCALAN,Dengue,6,6
15946,XI,DAVAO ORIENTAL,POBLACION,Dengue,7,6
15947,XI,DAVAO ORIENTAL,POBLACION,Dengue,4,6
15948,XI,DAVAO ORIENTAL,SAN JOSE,Dengue,3,6
15949,XI,DAVAO ORIENTAL,SANTA FE,Dengue,3,6
15950,XI,DAVAO ORIENTAL,SOBRECAREY,Dengue,4,6
15951,XI,DAVAO ORIENTAL,SAN ANTONIO,Dengue,3,6
15952,XI,DAVAO ORIENTAL,CENTRAL,Dengue,19,6
15953,XI,DAVAO ORIENTAL,DAHICAN,Dengue,3,6
15954,XI,DAVAO ORIENTAL,MATIAO,Dengue,3,6
15955,XI,DAVAO ORIENTAL,MARAGATAS,Dengue,3,6
15956,XI,DAVAO ORIENTAL,POBLACION,Dengue,9,6
15957,XII,COTABATO,POBLACION,Dengue,6,6
15958,XII,COTABATO,DUNGO-AN,Dengue,3,6
15959,XII,COTABATO,CENTRAL MALAMOTE,Dengue,3,6
15960,XII,COTABATO,POBLACION,Dengue,4,6
15961,XII,COTABATO,SALUNAYAN,Dengue,3,6
15962,XII,GENERAL SANTOS CITY,APOPONG,Dengue,14,6
15963,XII,GENERAL SANTOS CITY,BUAYAN,Dengue,8,6
15964,XII,GENERAL SANTOS CITY,BULA,Dengue,6,6
15965,XII,GENERAL SANTOS CITY,CALUMPANG,Dengue,18,6
15966,XII,GENERAL SANTOS CITY,CITY HEIGHTS,Dengue,5,6
15967,XII,GENERAL SANTOS CITY,FATIMA,Dengue,17,6
15968,XII,GENERAL SANTOS CITY,KATANGAWAN,Dengue,7,6
15969,XII,GENERAL SANTOS CITY,LABANGAL,Dengue,18,6
15970,XII,GENERAL SANTOS CITY,LAGAO,Dengue,5,6
15971,XII,GENERAL SANTOS CITY,MABUHAY,Dengue,7,6
15972,XII,GENERAL SANTOS CITY,SAN ISIDRO,Dengue,5,6
15973,XII,GENERAL SANTOS CITY,SAN JOSE,Dengue,5,6
15974,XII,GENERAL SANTOS CITY,TAMBLER,Dengue,6,6
15975,XII,SARANGANI,LADOL,Dengue,3,6
15976,XII,SARANGANI,POBLACION,Dengue,3,6
15977,XII,SARANGANI,NALUS,Dengue,9,6
15978,XII,SARANGANI,POBLACION,Dengue,4,6
15979,XII,SARANGANI,MINDUPOK,Dengue,6,6
15980,XII,SARANGANI,B'LAAN,Dengue,3,6
15981,XII,SARANGANI,MALANDAG,Dengue,6,6
15982,XII,SARANGANI,NAGPAN,Dengue,4,6
15983,XII,SARANGANI,POBLACION,Dengue,5,6
15984,XII,SARANGANI,TAMBAN,Dengue,3,6
15985,XII,SOUTH COTABATO,BENITEZ,Dengue,3,6
15986,XII,SOUTH COTABATO,CINCO,Dengue,4,6
15987,XII,SOUTH COTABATO,KUSAN,Dengue,3,6
15988,XII,SOUTH COTABATO,PUNONG GRANDE,Dengue,3,6
15989,XII,SOUTH COTABATO,SAN VICENTE,Dengue,3,6
15990,XII,SOUTH COTABATO,CALOOCAN,Dengue,4,6
15991,XII,SOUTH COTABATO,CARPENTER HILL,Dengue,3,6
15992,XII,SOUTH COTABATO,GENERAL PAULINO SANTOS,Dengue,6,6
15993,XII,SOUTH COTABATO,MAGSAYSAY,Dengue,3,6
15994,XII,SOUTH COTABATO,PARAISO,Dengue,3,6
15995,XII,SOUTH COTABATO,SAN ISIDRO,Dengue,5,6
15996,XII,SOUTH COTABATO,SAN JOSE,Dengue,3,6
15997,XII,SOUTH COTABATO,SAN ROQUE,Dengue,4,6
15998,XII,SOUTH COTABATO,SANTA CRUZ,Dengue,14,6
15999,XII,SOUTH COTABATO,SANTO NIÑO,Dengue,6,6
16000,XII,SOUTH COTABATO,SARABIA,Dengue,4,6
16001,XII,SOUTH COTABATO,ZONE I,Dengue,4,6
16002,XII,SOUTH COTABATO,ZONE III,Dengue,9,6
16003,XII,SOUTH COTABATO,ZONE IV,Dengue,6,6
16004,XII,SOUTH COTABATO,SILUTON,Dengue,3,6
16005,XII,SOUTH COTABATO,CANNERY SITE,Dengue,8,6
16006,XII,SOUTH COTABATO,GLAMANG,Dengue,3,6
16007,XII,SOUTH COTABATO,KLINAN 6,Dengue,3,6
16008,XII,SOUTH COTABATO,KORONADAL PROPER,Dengue,3,6
16009,XII,SOUTH COTABATO,MAGSAYSAY,Dengue,6,6
16010,XII,SOUTH COTABATO,PAGALUNGAN,Dengue,4,6
16011,XII,SOUTH COTABATO,POBLACION,Dengue,9,6
16012,XII,SOUTH COTABATO,POLO,Dengue,3,6
16013,XII,SOUTH COTABATO,KATIPUNAN,Dengue,3,6
16014,XII,SOUTH COTABATO,POBLACION,Dengue,6,6
16015,XII,SOUTH COTABATO,CENTRALA,Dengue,12,6
16016,XII,SOUTH COTABATO,COLONGULO,Dengue,3,6
16017,XII,SOUTH COTABATO,DAJAY,Dengue,5,6
16018,XII,SOUTH COTABATO,LAMSUGOD,Dengue,3,6
16019,XII,SOUTH COTABATO,LIBERTAD,Dengue,6,6
16020,XII,SOUTH COTABATO,LITTLE BAGUIO,Dengue,3,6
16021,XII,SOUTH COTABATO,DESAWO,Dengue,3,6
16022,XII,SOUTH COTABATO,LACONON,Dengue,3,6
16023,XII,SOUTH COTABATO,LEMSNOLON,Dengue,3,6
16024,XII,SOUTH COTABATO,MALUGONG,Dengue,3,6
16025,XII,SOUTH COTABATO,POBLACION,Dengue,8,6
16026,XII,SOUTH COTABATO,MALTANA,Dengue,5,6
16027,XII,SOUTH COTABATO,POBLACION,Dengue,4,6
16028,XII,SOUTH COTABATO,SANTA CRUZ,Dengue,3,6
16029,XII,SOUTH COTABATO,BUKAY PAIT,Dengue,5,6
16030,XII,SOUTH COTABATO,POBLACION,Dengue,4,6
16031,XII,SOUTH COTABATO,POBLACION,Dengue,8,6
16032,XII,SULTAN KUDARAT,BAI SARIFINANG,Dengue,4,6
16033,XII,SULTAN KUDARAT,MASIAG,Dengue,3,6
16034,XII,SULTAN KUDARAT,SAN EMMANUEL,Dengue,3,6
16035,XII,SULTAN KUDARAT,SAN PABLO,Dengue,4,6
16036,XII,SULTAN KUDARAT,POBLACION,Dengue,3,6
16037,XII,SULTAN KUDARAT,POBLACION,Dengue,3,6
16038,XII,SULTAN KUDARAT,KEYTODAC,Dengue,3,6
16039,XII,SULTAN KUDARAT,BLINGKONG,Dengue,4,6
16040,XII,SULTAN KUDARAT,LUTAYAN PROPER,Dengue,6,6
16041,XII,SULTAN KUDARAT,KATICO,Dengue,8,6
16042,XII,SULTAN KUDARAT,POBLACION,Dengue,4,6
16043,IV-A,BATANGAS,BRGY.. 3,Dengue,3,6
16044,IV-A,BATANGAS,BOLBOK,Dengue,7,6
16045,IV-A,BATANGAS,CALICANTO,Dengue,4,6
16046,IV-A,BATANGAS,CUTA,Dengue,7,6
16047,IV-A,BATANGAS,DUMANTAY,Dengue,4,6
16048,IV-A,BATANGAS,GULOD ITAAS,Dengue,3,6
16049,IV-A,BATANGAS,KUMINTANG ILAYA,Dengue,3,6
16050,IV-A,BATANGAS,MALITAM,Dengue,5,6
16051,IV-A,BATANGAS,PALLOCAN KANLURAN,Dengue,3,6
16052,IV-A,BATANGAS,PINAMUCAN,Dengue,6,6
16053,IV-A,BATANGAS,SAN ISIDRO,Dengue,3,6
16054,IV-A,BATANGAS,SANTA CLARA,Dengue,7,6
16055,IV-A,BATANGAS,SANTA RITA KARSADA,Dengue,7,6
16056,IV-A,BATANGAS,SIMLONG,Dengue,3,6
16057,IV-A,BATANGAS,SOROSORO ILAYA,Dengue,4,6
16058,IV-A,BATANGAS,TULO,Dengue,3,6
16059,IV-A,BATANGAS,SAN ROQUE,Dengue,3,6
16060,IV-A,BATANGAS,BALITOC,Dengue,3,6
16061,IV-A,BATANGAS,CARRETUNAN,Dengue,11,6
16062,IV-A,BATANGAS,LUCSUHIN,Dengue,4,6
16063,IV-A,BATANGAS,TANAGAN,Dengue,3,6
16064,IV-A,BATANGAS,BALELE,Dengue,3,6
16065,IV-A,BATANGAS,DARASA,Dengue,4,6
16066,IV-A,BATANGAS,NATATAS,Dengue,4,6
16067,IV-A,BATANGAS,POBLACION BRGY.. 6,Dengue,3,6
16068,IV-A,BATANGAS,MATALA,Dengue,5,6
16069,IV-A,BATANGAS,MALARUHATAN,Dengue,3,6
16070,IV-A,BATANGAS,MATABUNGKAY,Dengue,6,6
16071,IV-A,BATANGAS,ANTIPOLO DEL NORTE,Dengue,3,6
16072,IV-A,BATANGAS,ANTIPOLO DEL SUR,Dengue,3,6
16073,IV-A,BATANGAS,BRGY.. 12,Dengue,5,6
16074,IV-A,BATANGAS,BUGTONG NA PULO,Dengue,3,6
16075,IV-A,BATANGAS,MABINI,Dengue,3,6
16076,IV-A,BATANGAS,SABANG,Dengue,4,6
16077,IV-A,BATANGAS,SAMPAGUITA,Dengue,4,6
16078,IV-A,BATANGAS,SAN SALVADOR,Dengue,3,6
16079,IV-A,BATANGAS,TANGUAY,Dengue,3,6
16080,IV-A,BATANGAS,BANILAD,Dengue,3,6
16081,IV-A,BATANGAS,BILARAN,Dengue,6,6
16082,IV-A,BATANGAS,PANTALAN,Dengue,5,6
16083,IV-A,BATANGAS,TALANGAN,Dengue,4,6
16084,IV-A,BATANGAS,TUMALIM,Dengue,4,6
16085,IV-A,BATANGAS,POBLACION,Dengue,3,6
16086,IV-A,BATANGAS,COLONGAN,Dengue,3,6
16087,IV-A,BATANGAS,ITLUGAN,Dengue,3,6
16088,IV-A,BATANGAS,POCTOL,Dengue,4,6
16089,IV-A,BATANGAS,POBLACION II,Dengue,4,6
16090,IV-A,BATANGAS,BRGY.. II,Dengue,4,6
16091,IV-A,BATANGAS,SAN ANTONIO,Dengue,9,6
16092,IV-A,BATANGAS,SAN MIGUEL,Dengue,3,6
16093,IV-A,BATANGAS,SAN PABLO,Dengue,3,6
16094,IV-A,BATANGAS,SAN RAFAEL,Dengue,8,6
16095,IV-A,BATANGAS,SAN VICENTE,Dengue,8,6
16096,IV-A,BATANGAS,SANTA ANASTACIA,Dengue,4,6
16097,IV-A,BATANGAS,BACAO,Dengue,3,6
16098,IV-A,BATANGAS,LUMBANGAN,Dengue,3,6
16099,IV-A,BATANGAS,SABANG,Dengue,5,6
16100,IV-A,CAVITE,ANIBAN I,Dengue,3,6
16101,IV-A,CAVITE,BAYANAN,Dengue,6,6
16102,IV-A,CAVITE,HABAY I,Dengue,5,6
16103,IV-A,CAVITE,HABAY II,Dengue,5,6
16104,IV-A,CAVITE,LIGAS 2,Dengue,4,6
16105,IV-A,CAVITE,MAMBOG 4,Dengue,5,6
16106,IV-A,CAVITE,MAMBOG I,Dengue,4,6
16107,IV-A,CAVITE,MAMBOG III,Dengue,6,6
16108,IV-A,CAVITE,MOLINO I,Dengue,10,6
16109,IV-A,CAVITE,MOLINO II,Dengue,16,6
16110,IV-A,CAVITE,MOLINO III,Dengue,20,6
16111,IV-A,CAVITE,MOLINO IV,Dengue,22,6
16112,IV-A,CAVITE,MOLINO V,Dengue,4,6
16113,IV-A,CAVITE,MOLINO VI,Dengue,4,6
16114,IV-A,CAVITE,NIOG I,Dengue,3,6
16115,IV-A,CAVITE,NIOG II,Dengue,5,6
16116,IV-A,CAVITE,P.F. ESPIRITU 4,Dengue,4,6
16117,IV-A,CAVITE,P.F. ESPIRITU 5,Dengue,4,6
16118,IV-A,CAVITE,POBLACION,Dengue,3,6
16119,IV-A,CAVITE,QUEENS ROW CENTRAL,Dengue,5,6
16120,IV-A,CAVITE,QUEENS ROW WEST,Dengue,4,6
16121,IV-A,CAVITE,SALINAS I,Dengue,6,6
16122,IV-A,CAVITE,SAN NICOLAS II,Dengue,3,6
16123,IV-A,CAVITE,SAN NICOLAS III,Dengue,5,6
16124,IV-A,CAVITE,BRGY.. 14,Dengue,4,6
16125,IV-A,CAVITE,BRGY.. 16,Dengue,4,6
16126,IV-A,CAVITE,BRGY.. 20,Dengue,3,6
16127,IV-A,CAVITE,BRGY.. 30,Dengue,3,6
16128,IV-A,CAVITE,BRGY.. 31,Dengue,4,6
16129,IV-A,CAVITE,BRGY.. 36,Dengue,3,6
16130,IV-A,CAVITE,BRGY.. 43,Dengue,4,6
16131,IV-A,CAVITE,BRGY.. 47-B,Dengue,3,6
16132,IV-A,CAVITE,BRGY.. 56,Dengue,3,6
16133,IV-A,CAVITE,BRGY.. 8,Dengue,8,6
16134,IV-A,CAVITE,BRGY.. 9,Dengue,3,6
16135,IV-A,CAVITE,BANCAL,Dengue,3,6
16136,IV-A,CAVITE,BRGY.. 4,Dengue,3,6
16137,IV-A,CAVITE,LANTIC,Dengue,3,6
16138,IV-A,CAVITE,MABUHAY,Dengue,4,6
16139,IV-A,CAVITE,MADUYA,Dengue,8,6
16140,IV-A,CAVITE,MILAGROSA,Dengue,15,6
16141,IV-A,CAVITE,BUROL I,Dengue,3,6
16142,IV-A,CAVITE,BUROL III,Dengue,5,6
16143,IV-A,CAVITE,FATIMA I,Dengue,4,6
16144,IV-A,CAVITE,FATIMA III,Dengue,4,6
16145,IV-A,CAVITE,H-2,Dengue,5,6
16146,IV-A,CAVITE,LANGKAAN I,Dengue,9,6
16147,IV-A,CAVITE,LANGKAAN II,Dengue,5,6
16148,IV-A,CAVITE,PALIPARAN II,Dengue,3,6
16149,IV-A,CAVITE,PALIPARAN III,Dengue,13,6
16150,IV-A,CAVITE,SABANG,Dengue,5,6
16151,IV-A,CAVITE,SALAWAG,Dengue,29,6
16152,IV-A,CAVITE,SALITRAN II,Dengue,3,6
16153,IV-A,CAVITE,SALITRAN III,Dengue,3,6
16154,IV-A,CAVITE,SAMPALOC II,Dengue,4,6
16155,IV-A,CAVITE,SAMPALOC IV,Dengue,10,6
16156,IV-A,CAVITE,SAN JOSE,Dengue,7,6
16157,IV-A,CAVITE,SAN SIMON,Dengue,3,6
16158,IV-A,CAVITE,SANTA LUCIA,Dengue,4,6
16159,IV-A,CAVITE,SANTO NIÑO I,Dengue,3,6
16160,IV-A,CAVITE,VICTORIA REYES,Dengue,5,6
16161,IV-A,CAVITE,ZONE I,Dengue,3,6
16162,IV-A,CAVITE,BACAO I,Dengue,9,6
16163,IV-A,CAVITE,BACAO II,Dengue,6,6
16164,IV-A,CAVITE,BICLATAN,Dengue,5,6
16165,IV-A,CAVITE,BUENAVISTA II,Dengue,3,6
16166,IV-A,CAVITE,JAVALERA,Dengue,3,6
16167,IV-A,CAVITE,NAVARRO,Dengue,14,6
16168,IV-A,CAVITE,PASONG CAMACHILE I,Dengue,13,6
16169,IV-A,CAVITE,PASONG CAMACHILE II,Dengue,11,6
16170,IV-A,CAVITE,PASONG KAWAYAN I,Dengue,4,6
16171,IV-A,CAVITE,PASONG KAWAYAN II,Dengue,16,6
16172,IV-A,CAVITE,PINAGTIPUNAN,Dengue,5,6
16173,IV-A,CAVITE,SAN FRANCISCO,Dengue,33,6
16174,IV-A,CAVITE,SAN JUAN I,Dengue,5,6
16175,IV-A,CAVITE,SAN JUAN II,Dengue,9,6
16176,IV-A,CAVITE,SANTA CLARA,Dengue,3,6
16177,IV-A,CAVITE,SANTIAGO,Dengue,13,6
16178,IV-A,CAVITE,TAPIA,Dengue,4,6
16179,IV-A,CAVITE,ALDIANO OLAES,Dengue,3,6
16180,IV-A,CAVITE,FRANCISCO DE CASTRO,Dengue,4,6
16181,IV-A,CAVITE,GREGORIA DE JESUS,Dengue,3,6
16182,IV-A,CAVITE,NICOLASA VIRATA,Dengue,4,6
16183,IV-A,CAVITE,ALAPAN I-A,Dengue,5,6
16184,IV-A,CAVITE,ALAPAN I-B,Dengue,5,6
16185,IV-A,CAVITE,ALAPAN I-C,Dengue,3,6
16186,IV-A,CAVITE,ALAPAN II-A,Dengue,10,6
16187,IV-A,CAVITE,ANABU I-A,Dengue,3,6
16188,IV-A,CAVITE,ANABU II-B,Dengue,3,6
16189,IV-A,CAVITE,ANABU II-D,Dengue,3,6
16190,IV-A,CAVITE,ANABU II-F,Dengue,4,6
16191,IV-A,CAVITE,BAYAN LUMA I,Dengue,3,6
16192,IV-A,CAVITE,BAYAN LUMA IV,Dengue,4,6
16193,IV-A,CAVITE,BUCANDALA III,Dengue,4,6
16194,IV-A,CAVITE,BUCANDALA V,Dengue,4,6
16195,IV-A,CAVITE,BUHAY NA TUBIG,Dengue,18,6
16196,IV-A,CAVITE,CARSADANG BAGO I,Dengue,8,6
16197,IV-A,CAVITE,CARSADANG BAGO II,Dengue,8,6
16198,IV-A,CAVITE,MALAGASANG I-A,Dengue,5,6
16199,IV-A,CAVITE,MALAGASANG I-C,Dengue,3,6
16200,IV-A,CAVITE,MALAGASANG I-D,Dengue,3,6
16201,IV-A,CAVITE,MALAGASANG I-E,Dengue,10,6
16202,IV-A,CAVITE,MALAGASANG I-F,Dengue,13,6
16203,IV-A,CAVITE,MALAGASANG I-G,Dengue,15,6
16204,IV-A,CAVITE,MALAGASANG II-A,Dengue,15,6
16205,IV-A,CAVITE,MALAGASANG II-B,Dengue,13,6
16206,IV-A,CAVITE,MALAGASANG II-C,Dengue,4,6
16207,IV-A,CAVITE,MEDICION II-B,Dengue,3,6
16208,IV-A,CAVITE,PAG-ASA II,Dengue,5,6
16209,IV-A,CAVITE,PASONG BUAYA II,Dengue,7,6
16210,IV-A,CAVITE,TOCLONG I-B,Dengue,4,6
16211,IV-A,CAVITE,BATONG DALIG,Dengue,6,6
16212,IV-A,CAVITE,MANGGAHAN-LAWIN,Dengue,4,6
16213,IV-A,CAVITE,SANTA ISABEL,Dengue,4,6
16214,IV-A,CAVITE,TOCLONG,Dengue,22,6
16215,IV-A,CAVITE,WAKAS II,Dengue,3,6
16216,IV-A,CAVITE,BALSAHAN,Dengue,3,6
16217,IV-A,CAVITE,CALUBCOB,Dengue,4,6
16218,IV-A,CAVITE,HALANG,Dengue,12,6
16219,IV-A,CAVITE,IBAYO SILANGAN,Dengue,6,6
16220,IV-A,CAVITE,MALAINEN BAGO,Dengue,8,6
16221,IV-A,CAVITE,MALAINEN LUMA,Dengue,3,6
16222,IV-A,CAVITE,SABANG,Dengue,10,6
16223,IV-A,CAVITE,TIMALAN BALSAHAN,Dengue,34,6
16224,IV-A,CAVITE,MAGDIWANG,Dengue,3,6
16225,IV-A,CAVITE,SALCEDO I,Dengue,5,6
16226,IV-A,CAVITE,SAN ANTONIO I,Dengue,4,6
16227,IV-A,CAVITE,SAN JOSE I,Dengue,3,6
16228,IV-A,CAVITE,SANTA ROSA I,Dengue,5,6
16229,IV-A,CAVITE,LIGTONG I,Dengue,3,6
16230,IV-A,CAVITE,SILANGAN I,Dengue,22,6
16231,IV-A,CAVITE,SILANGAN II,Dengue,4,6
16232,IV-A,CAVITE,TEJEROS CONVENTION,Dengue,11,6
16233,IV-A,CAVITE,WAWA II,Dengue,3,6
16234,IV-A,CAVITE,WAWA III,Dengue,5,6
16235,IV-A,CAVITE,BULIHAN,Dengue,3,6
16236,IV-A,CAVITE,PUTING KAHOY,Dengue,4,6
16237,IV-A,CAVITE,PATUTONG MALAKI SOUTH,Dengue,3,6
16238,IV-A,CAVITE,AMAYA I,Dengue,5,6
16239,IV-A,CAVITE,BAGTAS,Dengue,7,6
16240,IV-A,CAVITE,BIGA,Dengue,7,6
